,Removed,Added,Value,Weight,Solution
0,0,0,3009.0,1467.0,"[42, 81, 36, 4, 17, 30, 56, 8, 94, 84, 64, 24, 51, 6, 9, 85, 89, 18, 1, 11, 39, 63, 21, 28, 66, 70, 67, 91, 31, 2, 74, 75, 38, 87, 26, 15, 61, 53, 7, 32, 25, 13, 79, 88, 55, 69, 23, 29, 48, 59, 82, 3, 68, 58, 52, 10]"
1,28,77,3014.0,1466.0,"[42, 81, 36, 4, 17, 30, 56, 8, 94, 84, 64, 24, 51, 6, 9, 85, 89, 18, 1, 11, 39, 63, 21, 66, 70, 67, 91, 31, 2, 74, 75, 38, 87, 26, 15, 61, 53, 7, 32, 25, 13, 79, 88, 55, 69, 23, 29, 48, 59, 82, 3, 68, 58, 52, 10, 77]"
2,21,22,3028.0,1466.0,"[42, 81, 36, 4, 17, 30, 56, 8, 94, 84, 64, 24, 51, 6, 9, 85, 89, 18, 1, 11, 39, 63, 28, 66, 70, 67, 91, 31, 2, 74, 75, 38, 87, 26, 15, 61, 53, 7, 32, 25, 13, 79, 88, 55, 69, 23, 29, 48, 59, 82, 3, 68, 58, 52, 10, 22]"
3,3,77,3004.0,1443.0,"[42, 81, 36, 4, 17, 30, 56, 8, 94, 84, 64, 24, 51, 6, 9, 85, 89, 18, 1, 11, 39, 63, 21, 28, 66, 70, 67, 91, 31, 2, 74, 75, 38, 87, 26, 15, 61, 53, 7, 32, 25, 13, 79, 88, 55, 69, 23, 29, 48, 59, 82, 68, 58, 52, 10, 77]"
4,31,77,2989.0,1455.0,"[42, 81, 36, 4, 17, 30, 56, 8, 94, 84, 64, 24, 51, 6, 9, 85, 89, 18, 1, 11, 39, 63, 21, 28, 66, 70, 67, 91, 2, 74, 75, 38, 87, 26, 15, 61, 53, 7, 32, 25, 13, 79, 88, 55, 69, 23, 29, 48, 59, 82, 3, 68, 58, 52, 10, 77]"
5,79,77,2999.0,1429.0,"[42, 81, 36, 4, 17, 30, 56, 8, 94, 84, 64, 24, 51, 6, 9, 85, 89, 18, 1, 11, 39, 63, 21, 28, 66, 70, 67, 91, 31, 2, 74, 75, 38, 87, 26, 15, 61, 53, 7, 32, 25, 13, 88, 55, 69, 23, 29, 48, 59, 82, 3, 68, 58, 52, 10, 77]"
6,23,77,2993.0,1452.0,"[42, 81, 36, 4, 17, 30, 56, 8, 94, 84, 64, 24, 51, 6, 9, 85, 89, 18, 1, 11, 39, 63, 21, 28, 66, 70, 67, 91, 31, 2, 74, 75, 38, 87, 26, 15, 61, 53, 7, 32, 25, 13, 79, 88, 55, 69, 29, 48, 59, 82, 3, 68, 58, 52, 10, 77]"
7,42,77,2993.0,1439.0,"[81, 36, 4, 17, 30, 56, 8, 94, 84, 64, 24, 51, 6, 9, 85, 89, 18, 1, 11, 39, 63, 21, 28, 66, 70, 67, 91, 31, 2, 74, 75, 38, 87, 26, 15, 61, 53, 7, 32, 25, 13, 79, 88, 55, 69, 23, 29, 48, 59, 82, 3, 68, 58, 52, 10, 77]"
8,6,77,3013.0,1426.0,"[42, 81, 36, 4, 17, 30, 56, 8, 94, 84, 64, 24, 51, 9, 85, 89, 18, 1, 11, 39, 63, 21, 28, 66, 70, 67, 91, 31, 2, 74, 75, 38, 87, 26, 15, 61, 53, 7, 32, 25, 13, 79, 88, 55, 69, 23, 29, 48, 59, 82, 3, 68, 58, 52, 10, 77]"
